,Angular Correction (Arcsec),Apparent Angle (Degrees),Max Angular Correction (Arcsec),Min Angular Correction (Arcsec)
59,90.29568727858612,59.00000000000001,96.35846906981755,84.2331248576612
60,94.17502573911368,59.99999999999999,100.48324250146834,87.8670622582464
61,98.29995329468372,61.0,104.86872040016016,91.7314787069485
62,102.69628836251972,62.0,109.54232768440556,95.85058711956137
63,107.39357244833319,63.0,114.53544499175302,100.25209109758244
64,112.4257655235937,64.0,119.88414766767518,104.96783675830503
65,117.83210234349681,65.0,125.63011583527212,110.0346153819794
66,123.65815464760014,66.0,131.82176333990859,115.49515898052042
67,129.95715903812558,67.0,138.51564915739584,121.39938479427619
68,136.79169090075354,68.0,145.77825674562402,127.80596398712233
69,144.23579356840676,69.0,153.68825750036697,134.78431679984888
70,152.3777128544744,70.0,162.33941803694458,142.41717472832227
71,161.32344597361165,71.0,171.8443737137028,150.8039054044865
72,171.2013998476509,72.0,182.33958235581255,160.06487629092393
73,182.1685813208353,73.0,193.99190796897307,170.34725258338128
74,194.4189342212957,74.0,207.00748921640212,181.8328046267191
75,208.19473395892604,75.0,221.64386262924634,194.74857659535294
76,223.80241423622243,76.0,238.22680510210492,209.3817016188541
77,241.63494434917544,77.0,257.1741537138977,226.1003432633127
78,262.20409785776604,78.0,279.0301654437317,245.38388414589565
79,286.18801640458645,79.0,304.5161826007139,267.86740671490253
80,314.50305953925584,80.0,334.60720388675844,294.408854327584
81,348.41537906106765,81.0,370.6508596074274,326.19326379577
82,389.7196861735331,82.0,414.5581768822358,364.8996467450932
83,441.03609269434304,83.0,469.1206428109834,412.9778333772787
84,506.3237347825553,84.0,538.5594983004777,474.126902616621
85,591.8132341274007,85.0,629.5246201678204,554.1623076651614
86,707.7987336684482,86.0,753.0186478721124,662.6785118572025
87,872.3279517486202,87.0,928.3722255955462,816.4612689962377
88,1119.4865847548554,88.0,1192.213514213903,1047.110299844684
89,1520.2441413321965,89.0,1621.2201289954362,1420.0676209389053
